                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.80295,                0.76954,                 1.0692,                0.69297,                0.41923,                0.43243,                0.31701,                  1.226,                 2.2999,                 1.4772,               0.003268,               0.003268,               0.003268
                     36,                0.80134,                0.61612,                 1.0766,                0.84696,                0.41923,                0.45389,                0.33958,                  1.253,                 2.1286,                 1.5014,                0.00307,                0.00307,                0.00307
                     37,                0.73837,                0.63242,                 1.0163,                0.84865,                0.38077,                0.48228,                0.36207,                 1.1655,                 2.0501,                 1.3775,               0.002872,               0.002872,               0.002872
                     38,                0.79881,                0.64119,                 1.1032,                0.68711,                0.38077,                0.44358,                0.33757,                 1.1566,                 2.1832,                 1.3575,               0.002674,               0.002674,               0.002674
                     39,                0.83618,                0.72833,                 1.1213,                0.68846,                0.37786,                0.46851,                 0.3759,                 1.0647,                   2.02,                 1.2919,               0.002476,               0.002476,               0.002476
                     40,                0.70716,                0.63734,                 1.0233,                0.55218,                0.43077,                0.46834,                0.37261,                 1.0783,                 1.9534,                 1.3219,               0.002278,               0.002278,               0.002278
                     41,                0.62699,                 0.4905,                0.96912,                 0.6371,                0.39231,                0.46792,                 0.3684,                 1.0873,                 1.9902,                 1.3161,                0.00208,                0.00208,                0.00208
                     42,                0.62235,                0.47406,                0.93983,                0.68142,                0.43077,                0.48873,                0.38625,                 1.0809,                 1.9342,                 1.3334,               0.001882,               0.001882,               0.001882
                     43,                0.61004,                0.45093,                0.93312,                0.68887,                0.47012,                0.50616,                0.40407,                 1.1269,                 1.9515,                 1.3926,               0.001684,               0.001684,               0.001684
                     44,                0.64328,                 0.5104,                0.99035,                0.78345,                0.42408,                0.53613,                0.41605,                 1.1116,                 1.9839,                 1.3772,               0.001486,               0.001486,               0.001486
                     45,                0.60202,                0.51166,                 0.9466,                0.77703,                 0.4211,                0.54191,                0.42651,                 1.0633,                 1.9346,                 1.3292,               0.001288,               0.001288,               0.001288
                     46,                 0.6109,                  0.447,                0.99665,                0.77126,                0.38077,                0.53466,                0.43807,                 1.0081,                 1.8634,                 1.2908,                0.00109,                0.00109,                0.00109
                     47,                 0.6294,                0.50192,                0.95348,                0.77812,                0.38077,                0.53696,                0.44195,                0.97266,                 1.8459,                 1.2605,               0.000892,               0.000892,               0.000892
                     48,                0.63144,                0.45702,                0.97965,                0.50995,                0.54892,                 0.5493,                0.45332,                0.94621,                 1.8098,                 1.2348,               0.000694,               0.000694,               0.000694
                     49,                0.68601,                0.56857,                0.99536,                0.57738,                0.55118,                0.56102,                0.45829,                0.93122,                 1.7745,                 1.2167,               0.000496,               0.000496,               0.000496
